Company_Id,Company_Name,Industry,Employees_Count,Linkedin_Followers
2001,Uplers,IT Services and IT Consulting,5000,718560
2002,Uplers,IT Services and IT Consulting,5000,718519
2003,Uplers,IT Services and IT Consulting,5000,718590
2004,SME Consulting Private Limited,Business Consulting and Services,50,43
2005,Mirats.,IT Services and IT Consulting,50,815
2006,Splisys,IT Services and IT Consulting,200,1204
2007,AEC - Abroad Education Consultants,Education Administration Programs,200,1749
2008,NG Networks,Computer and Network Security,50,1873
2009,Barclays,Financial Services,10001,1323372
2010,Novartis India,Pharmaceutical Manufacturing,10001,121337
2011,IDFC FIRST Bank,Banking,10001,883817
2012,NOV,Oil and Gas,10001,640435
2013,IDFC FIRST Bank,Banking,10001,883833
2014,IDFC FIRST Bank,Banking,10001,883829
2015,IDFC FIRST Bank,Banking,10001,883867
2016,Bank of America,Banking,10001,2375126
2017,Vitasta Consulting Pvt Ltd,Human Resources Services,50,39716
2018,Mahindra Group,Executive Offices,10001,1104898
2019,General Mills,Manufacturing,10001,582895
2020,JLL,Real Estate,10001,1616257
2021,Chain2bollywood,Media Production,10,6
2022,Ford Motor Company,Motor Vehicle Manufacturing,10001,3749253
2023,PwC India,Business Consulting and Services,10000,947440
2024,PwC,Accounting,10001,4844136
2025,BNP Paribas,Banking,10001,1231268
2026,Aster DM Healthcare,Hospitals and Health Care,10001,304960
2027,BNP Paribas,Banking,10001,1231321
2028,BNP Paribas,Banking,10001,1231267
2029,Sutherland,IT Services and IT Consulting,10001,496701
2030,Sutherland,IT Services and IT Consulting,10001,496702
2031,Sutherland,IT Services and IT Consulting,10001,496700
2032,Tech Mahindra Business Services,IT Services and IT Consulting,10000,43054
2033,HyreFox Consultants,Human Resources Services,200,13064
2034,HyreFox Consultants,Human Resources Services,200,13064
2035,Sutherland,IT Services and IT Consulting,10001,496705
2036,Barclays,Financial Services,10001,1323372
2037,SHARP NGO,Non-profit Organizations,200,4507
2038,Hire Digital,Advertising Services,200,335282
2039,Business Employment,IT Services and IT Consulting,50,517
2040,Business Employment,IT Services and IT Consulting,50,517
2041,Revnue,Software Development,200,26696
2042,Gyizer,Software Development,50,1173
2043,RC Project Consultancy (RCPC),Civil Engineering,10,6085
2044,GlobalHunt,Staffing and Recruiting,1000,102094
2045,Barclays,Financial Services,10001,1323366
2046,Barclays,Financial Services,10001,1323387
2047,MakroCare,Pharmaceutical Manufacturing,1000,15283
2048,Customized Energy Solutions,Utilities,500,14117
2049,Anaxee Digital Runners Private Limited,Information Services,200,3372
2050,Creator,Food and Beverage Services,50,4211
2051,Innovalus Technologies,Human Resources Services,50,5798
2052,Monster India,Software Development,1000,27152
2053,Besides Digital,IT Services and IT Consulting,10,397
2054,Elite Biotech,Biotechnology Research,50,1367
2055,XOXOtails,Veterinary Services,10,2175
2056,Urban Company,"Technology, Information and Internet",5000,313805
2057,The Sports Gurukul,Spectator Sports,50,1580
2058,Srinika,Animation and Post-production,10,164
2059,Anaxee Digital Runners Private Limited,Information Services,200,3372
2060,Uplers,IT Services and IT Consulting,5000,718506
2061,Cyient,IT Services and IT Consulting,10001,307269
2062,ANS Commerce,"Technology, Information and Internet",200,6572
2063,Industrybuying.com,Retail Office Equipment,1000,21374
2064,Merck Group,Pharmaceutical Manufacturing,10001,819602
2065,Accel in India,Venture Capital and Private Equity Principals,200,7920
2066,Manish Chaturvedi Photography & Films,Photography,10,11
2067,Catenon India,Human Resources Services,200,170327
2068,Dhingra Pharma,"Appliances, Electrical, and Electronics Manufacturing",10,189
2069,Uplers,IT Services and IT Consulting,5000,718571
2070,Antal International,Staffing and Recruiting,5000,626464
2071,KSM Associates,IT Services and IT Consulting,200,36
2072,Infor,Software Development,10001,797249
2073,Grow Online,Advertising Services,10,202
2074,MoneyyApp,"Technology, Information and Internet",50,5434
2075,Wiingy,E-Learning Providers,50,10434
2076,Fyp,Financial Services,50,10730
2077,onlydigitalway,Marketing Services,10,300
2078,Spectrum Insurance Broking (P) Limited,Insurance,200,4473
2079,AGRIM,"Technology, Information and Internet",200,12711
2080,Wedding Affair,Online Audio and Video Media,50,2557
2081,Global Tree,Education Administration Programs,500,5138
2082,Daten & Wissen,IT Services and IT Consulting,50,7131
2083,iPhone Photography School,Media Production,50,18868
2084,OLIVER Agency,Advertising Services,5000,115326
2085,SAK GROUP,Advertising Services,10,1735
2086,Modifyed Digital,Advertising Services,50,1897
2087,One Four Seven,Advertising Services,200,19621
2088,Digital Class,IT Services and IT Consulting,10,15
2089,MUFG,Financial Services,10001,263395
2090,Hawk-Eye Innovations Ltd,Spectator Sports,500,27816
2091,Accenture in India,IT Services and IT Consulting,10001,1531446
2092,Barclays,Financial Services,10001,1323371
2093,bp,Oil and Gas,10001,3277295
2094,Your Retail Coach,Business Consulting and Services,50,3376
2095,Business Employment,IT Services and IT Consulting,50,518
2096,Business Employment,IT Services and IT Consulting,50,517
2097,Uplers,IT Services and IT Consulting,5000,718622
2098,Booming Bulls Academyâ„¢,Education Administration Programs,200,2418
2099,Universal Electronics,Computers and Electronics Manufacturing,5000,28877
2100,IDFC FIRST Bank,Banking,10001,883959
2101,White Force Group,Staffing and Recruiting,500,43963
2102,Tata ClassEdge,E-Learning Providers,500,20655
2103,Barclays,Financial Services,10001,1323409
2104,Barclays,Financial Services,10001,1323409
2105,77 Million Digital Marketing Agency,Advertising Services,50,2092
2106,Android Developer,IT Services and IT Consulting,200,84267
2107,CouponsWala,Retail,50,190
2108,Fortuna PR,Public Relations and Communications Services,200,1392
2109,Money Making Trading Courses,Financial Services,10,30
2110,Pinacle Web India,IT Services and IT Consulting,50,388
2111,Crony Technovest OPC Private Limited,IT Services and IT Consulting,50,330
2112,MITYUNG,"Technology, Information and Internet",200,3257
2113,Octro Inc.,Software Development,200,5057
2114,Upperthrust Technologies Private Limited,IT Services and IT Consulting,50,3763
2115,PROVOST,Retail Office Equipment,500,3756
2116,Aristocrat IT Solutions Pvt. Ltd.,IT Services and IT Consulting,200,4466
2117,LOOKS SALON PVT. LTD.,Consumer Services,1000,12921
2118,ResCare Community Living,Hospitals and Health Care,10000,1430
2119,Sutherland,IT Services and IT Consulting,10001,496726
2120,Business Employment,IT Services and IT Consulting,50,518
2121,Uplers,IT Services and IT Consulting,5000,718619
2122,EngageMyTalent HR Solutions,Human Resources Services,50,77
2123,Women Hopes,Hospitals and Health Care,10,316
2124,Rapid Techs,Consumer Services,10,7
2125,Collins Aerospace,Aviation and Aerospace Component Manufacturing,10001,545463
2126,Kaarlo Training & HR Solutions Pvt. Ltd.,Human Resources Services,10,760
2127,Capita,IT Services and IT Consulting,10001,291962
2128,JLL,Real Estate,10001,1616288
2129,JLL,Real Estate,10001,1616289
2130,Wish A Design,Advertising Services,50,87
2131,AONE HR SERVICES,Staffing and Recruiting,10,8505
2132,Arth,Construction,500,10227
2133,Qualicentric LLP,Financial Services,50,9682
2134,World Health Organization,International Affairs,10000,5003696
2135,Wipro,IT Services and IT Consulting,10001,6538272
2136,JOBS 'n TA HR Services,Human Resources Services,50,1713
2137,Airbus,Aviation and Aerospace Component Manufacturing,10001,1799843
2138,Barclays,Financial Services,10001,1323422
2139,Barclays,Financial Services,10001,1323440
2140,Barclays,Financial Services,10001,1323444
2141,Barclays,Financial Services,10001,1323444
2142,TELUS International AI Data Solutions,IT Services and IT Consulting,10001,91672
2143,AKMV Consultants,Financial Services,50,1882
2144,IMG Global Infotech Private Limited,IT Services and IT Consulting,200,3497
2145,Barclays,Financial Services,10001,1323387
2146,Tata Communications,Telecommunications,10000,510808
2147,Sakshi Media,Newspaper Publishing,5000,408
2148,Housejoy,Construction,500,12438
2149,Tiny Dot Foods,Food and Beverage Manufacturing,50,217
2150,Medical Dialogues,Newspaper Publishing,50,3075
2151,The Social Media Branding,Marketing Services,50,5
2152,Ronin Labs,"Technology, Information and Internet",50,759
2153,Semporro,Advertising Services,10,295
2154,PloPdo,Professional Training and Coaching,50,98209
2155,Courtyard by Marriott,Hospitality,10001,71983
2156,NG Networks,Computer and Network Security,50,1873
2157,Dhingra Pharma,"Appliances, Electrical, and Electronics Manufacturing",10,189
2158,Seven Consultancy (HR Solution),Human Resources Services,200,45499
2159,Cipla,Pharmaceutical Manufacturing,10001,1066246
2160,White Force Group,Staffing and Recruiting,500,43960
2161,Foursis Technical Solutions,Staffing and Recruiting,50,47637
2162,HireSure.ai (YC S22),"Technology, Information and Internet",50,4297
2163,Veranda Race,Education Administration Programs,500,1703
2164,Antino,IT Services and IT Consulting,500,20370
2165,Zypp Electric,"Transportation, Logistics, Supply Chain and Storage",500,49114
2166,Apollo Hospitals,Hospitals and Health Care,10001,346936
2167,VKAPS IT Solutions Pvt. Ltd.,IT Services and IT Consulting,200,3457
2168,Jagran New Media,"Technology, Information and Internet",500,41563
2169,Offbeat Marketing & Communication,Advertising Services,10,515
2170,Ideas2IT Technologies,IT Services and IT Consulting,1000,23253
2171,Barclays,Financial Services,10001,1323451
2172,IndiaNIC Infotech Limited,IT Services and IT Consulting,1000,33733
2173,Infidigit,Marketing Services,200,12007
2174,AKS ProTalent,Human Resources Services,50,318562
2175,White Force Group,Staffing and Recruiting,500,43957
2176,Tetrahedron Manufacturing Services,Business Consulting and Services,50,3811
2177,Pine Labs,IT Services and IT Consulting,5000,143795
2178,White Force Group,Staffing and Recruiting,500,43961
2179,TechnoScience (Domnic Lewis International LLC),Staffing and Recruiting,200,32036
2180,Supreme Law Chamber,Legal Services,10,129
2181,Habitat for Humanity Trust,Non-profit Organizations,200,540
2182,Sutherland,IT Services and IT Consulting,10001,496717
2183,LTIMindtree,IT Services and IT Consulting,10001,139844
2184,Carrier,Wholesale Building Materials,10001,189915
2185,Sutherland,IT Services and IT Consulting,10001,496693
2186,Sutherland,IT Services and IT Consulting,10001,496700
2187,Alore - Growth OS,Software Development,200,25021
2188,Anaxee Digital Runners Private Limited,Information Services,200,3372
2189,Valueonshore Advisors,Business Consulting and Services,500,9196
2190,Mahindra Group,Executive Offices,10001,1104810
2191,Dream11,"Technology, Information and Media",1000,61340
2192,JOBS 'n TA HR Services,Human Resources Services,50,1713
2193,Franchise Alpha,Consumer Services,50,2888
2194,DrillMaps,Software Development,10,1001
2195,Vishranthi Homes Private Limited,Construction,50,57
2196,GrowthStudioz,Advertising Services,50,1487
2197,Samarpak Management Solutions,Human Resources Services,10,82
2198,Alliance Recruitment Agency,Human Resources Services,200,16655
2199,HyreFox Consultants,Human Resources Services,200,13064
2200,Galderma,Pharmaceutical Manufacturing,10000,249456
2201,EnKASH,Business Consulting and Services,200,1290
2202,Achievers Spot,Hospitals and Health Care,10,2429
2203,Nemesis hr Consultants,Human Resources Services,50,212
2204,EngageMyTalent HR Solutions,Human Resources Services,50,77
2205,Eduprime,E-Learning Providers,50,1274
2206,Sutherland,IT Services and IT Consulting,10001,496750
2207,Sutherland,IT Services and IT Consulting,10001,496721
2208,Barclays,Financial Services,10001,1323402
2209,Socially Souled,Mental Health Care,50,2758
2210,White Force Group,Staffing and Recruiting,500,43960
2211,INGLU,Education Administration Programs,1000,30977
2212,Buddy4Study,Higher Education,200,7289
2213,Janaswamy Associates,Accounting,500,336
2214,Nextyn,Information Services,50,5678
2215,American Express,Financial Services,10001,1798062
2216,Opkey,Software Development,500,9339
2217,Rent An Attire,Retail Apparel and Fashion,50,4705
2218,Gusti Leder Stores GmbH,Retail,200,577
2219,ICICI Bank,Banking,10001,2869073
2220,MOMENTZ,Retail Luxury Goods and Jewelry,200,384
2221,Sixth Sense IT Solutions,IT Services and IT Consulting,50,2941
2222,Infosys,IT Services and IT Consulting,10001,6585787
2223,Auxo Technology Labs Private Limited,IT Services and IT Consulting,200,16499
2224,Teleporter,"Technology, Information and Internet",10,91
2225,Sutherland,IT Services and IT Consulting,10001,496688
2226,Sutherland,IT Services and IT Consulting,10001,496693
2227,NielsenIQ,Information Services,10001,620155
2228,World Resources Institute,Think Tanks,1000,138861
2229,AKS ProTalent,Human Resources Services,50,318561
2230,Barclays,Financial Services,10001,1323391
2231,HIRExpert,Human Resources Services,50,88
2232,Infosys BPM,IT Services and IT Consulting,10001,822427
2233,UST,IT Services and IT Consulting,10001,747358
2234,Socially Souled,Mental Health Care,50,2758
2235,World Health Organization,International Affairs,10000,5003726
2236,Uplers,IT Services and IT Consulting,5000,718514
2237,TaskUs,Outsourcing and Offshoring Consulting,10001,156579
2238,Unacademy,E-Learning Providers,10000,710592
2239,Evidence Action,International Trade and Development,500,27110
2240,T&N Business Services Pvt. Ltd,Business Consulting and Services,5000,17607
2241,Kaarlo Training & HR Solutions Pvt. Ltd.,Human Resources Services,10,760
2242,MintSkill HR Solutions LLP,Staffing and Recruiting,50,3980
2243,Anaxee Digital Runners Private Limited,Information Services,200,3372
2244,Fusion Technology Solutions,Education Administration Programs,50,1484
2245,Agoda,"Technology, Information and Internet",10000,415663
2246,Sutherland,IT Services and IT Consulting,10001,496700
2247,Sutherland,IT Services and IT Consulting,10001,496747
2248,Sutherland,IT Services and IT Consulting,10001,496747
2249,Sutherland,IT Services and IT Consulting,10001,496747
2250,Rubico,Software Development,500,5065
2251,Rubico,Software Development,500,5065
2252,Wrapped Up Love,Manufacturing,10,321
2253,Caliber,Software Development,50,124
2254,Barclays,Financial Services,10001,1323392
2255,EMIS Group plc,Wellness and Fitness Services,5000,9171
2256,GoComet,"Transportation, Logistics, Supply Chain and Storage",200,29447
2257,LEANVIA,IT Services and IT Consulting,50,418
2258,ImmuneBytes,Computer and Network Security,50,537
2259,Alexis Infosolutions,IT Services and IT Consulting,50,401
2260,SocialChamps Media Pvt. Ltd.,Advertising Services,200,5193
2261,Barclays,Financial Services,10001,1323396
2262,Barclays,Financial Services,10001,1323398
2263,American Express,Financial Services,10001,1798071
2264,Husk Power Systems,Solar Electric Power Generation,500,15227
2265,Barclays,Financial Services,10001,1323417
2266,IDFC FIRST Bank,Banking,10001,883944
2267,Lionbridge,Translation and Localization,10000,282358
2268,Bacardi,Beverage Manufacturing,10000,510772
2269,Testbook,E-Learning Providers,1000,106463
2270,SkillDzire-Recruit,Information Services,50,21102
2271,Uplers,IT Services and IT Consulting,5000,718533
2272,Devout Tech Consultants Pvt Ltd,IT Services and IT Consulting,50,1484
2273,Digital Piloto,Advertising Services,50,3066
2274,Uplers,IT Services and IT Consulting,5000,718626
2275,Digital Refresh Networks,"Technology, Information and Internet",200,7132
2276,Le15 Patisserie Pvt Ltd,Hospitality,200,1124
2277,Belora Cosmetics,Personal Care Product Manufacturing,50,31086
2278,Amounee,Textile Manufacturing,10,397
2279,NeoDove,Software Development,50,5031
2280,Design Sundays,Design Services,10,3426
2281,FS Life (Prev. FableStreet),Retail Apparel and Fashion,50,26690
2282,All 'Bout Communication,Public Relations and Communications Services,50,1367
2283,OTFCoder,IT Services and IT Consulting,50,1489
2284,Eduonix Learning Solutions Pvt Ltd,E-Learning Providers,200,8879
2285,Sutherland,IT Services and IT Consulting,10001,496708
2286,Sutherland,IT Services and IT Consulting,10001,496726
2287,Sutherland,IT Services and IT Consulting,10001,496749
2288,Aristocrat,Gambling Facilities and Casinos,10000,102571
2289,Sutherland,IT Services and IT Consulting,10001,496694
2290,Brigade Group,Real Estate,5000,126475
2291,Appex Innovation,Hospitals and Health Care,50,3163
2292,Swiggy,Software Development,5000,1243143
2293,Barclays,Financial Services,10001,1323427
2294,Verizon,IT Services and IT Consulting,10001,1325176
2295,Anaxee Digital Runners Private Limited,Information Services,200,3372
2296,Ecolab,Chemical Manufacturing,10001,464978
2297,World Health Organization,International Affairs,10000,5003598
2298,IDFC FIRST Bank,Banking,10001,883810
2299,Kapil Consultancy Recruitment Services PVT LTD.,Human Resources Services,200,20027
2300,GANPATI ASSOCIATES,Accounting,10,57
2301,Tribiz India,Outsourcing and Offshoring Consulting,200,2136
2302,IDFC FIRST Bank,Banking,10001,883829
2303,Deutsche Bank,Financial Services,10001,1798566
2304,"Forward Networks, Inc.",Computer Networking Products,200,6245
2305,Zypp Electric,"Transportation, Logistics, Supply Chain and Storage",500,49114
2306,Broomees India,Professional Services,50,2646
2307,Sumans Royal Aroma,Wellness and Fitness Services,10,37
2308,Ideamagix,IT Services and IT Consulting,50,1080
2309,Saujil Global Pvt. Ltd.,Business Consulting and Services,50,1270
2310,Mobikode,IT Services and IT Consulting,500,4830
2311,Secret MindTech,IT Services and IT Consulting,10,1777
2312,Overture Rede,IT Services and IT Consulting,50,969
2313,Guardian Life,Financial Services,10000,85516
