Details_Id,Involvement,Levels,Total_Applicant
3001,Full-Time,Mid-Senior level,23
3002,Full-Time,Mid-Senior level,196
3003,Full-Time,Mid-Senior level,26
3004,Full-Time,Internship,1
3005,Full-Time,Internship,1
3006,Full-Time,Internship,1
3007,Full-Time,Entry level,1
3008,Full-Time,Entry level,1
3009,Full-Time,Associate,1
3010,Full-Time,Associate,1
3011,Full-Time,Entry level,5
3012,Full-Time,Entry level,1
3013,Full-Time,Mid-Senior level,1
3014,Full-Time,Mid-Senior level,1
3015,Full-Time,Entry level,5
3016,Full-Time,Mid-Senior level,1
3017,Full-Time,Mid-Senior level,5
3018,Full-Time,Mid-Senior level,1
3019,Full-Time,Mid-Senior level,2
3020,Full-Time,Entry level,1
3021,Part-Time,Internship,2
3022,Full-Time,Entry level,5
3023,Full-Time,Entry level,1
3024,Full-Time,Associate,1
3025,Full-Time,Associate,1
3026,Full-Time,Entry level,1
3027,Full-Time,Entry level,1
3028,Full-Time,Entry level,1
3029,Full-Time,Entry level,1
3030,Full-Time,Entry level,1
3031,Full-Time,Entry level,1
3032,Full-Time,Entry level,1
3033,Full-Time,Entry level,1
3034,Full-Time,Entry level,1
3035,Full-Time,Executive,1
3036,Full-Time,Mid-Senior level,1
3037,Full-Time,Internship,1
3038,Contract ,Mid-Senior level,1
3039,Full-Time,Mid-Senior level,1
3040,Full-Time,Internship,5
3041,Contract ,Entry level,5
3042,Full-Time,Internship,5
3043,Full-Time,Mid-Senior level,1
3044,Full-Time,Mid-Senior level,1
3045,Full-Time,Mid-Senior level,1
3046,Full-Time,Mid-Senior level,1
3047,Full-Time,Associate,1
3048,Full-Time,Associate,1
3049,Full-Time,Mid-Senior level,1
3050,Full-Time,Entry level,1
3051,Contract ,Entry level,5
3052,Full-Time,Internship,2
3053,Full-Time,Internship,1
3054,Full-Time,Internship,5
3055,Full-Time,Internship,5
3056,Full-Time,Internship,5
3057,Part-Time,Internship,1
3058,Full-Time,Internship,1
3059,Full-Time,Mid-Senior level,1
3060,Full-Time,Associate,1
3061,Full-Time,Entry level,1
3062,Full-Time,Internship,5
3063,Full-Time,Internship,1
3064,Full-Time,Entry level,1
3065,Full-Time,Director,1
3066,Full-Time,Internship,1
3067,Full-Time,Mid-Senior level,1
3068,Full-Time,Entry level,5
3069,Full-Time,Mid-Senior level,1
3070,Full-Time,Mid-Senior level,2
3071,Full-Time,Internship,1
3072,Full-Time,Mid-Senior level,1
3073,Full-Time,Internship,1
3074,Part-Time,Internship,5
3075,Full-Time,Internship,1
3076,Full-Time,Internship,1
3077,Full-Time,Internship,5
3078,Full-Time,Internship,1
3079,Full-Time,Internship,1
3080,Full-Time,Internship,1
3081,Full-Time,Internship,1
3082,Full-Time,Internship,1
3083,Full-Time,Associate,1
3084,Full-Time,Entry level,1
3085,Full-Time,Internship,1
3086,Full-Time,Internship,5
3087,Part-Time,Internship,2
3088,Full-Time,Internship,2
3089,Full-Time,Entry level,1
3090,Contract ,Entry level,1
3091,Full-Time,Entry level,5
3092,Full-Time,Associate,5
3093,Full-Time,Associate,1
3094,Full-Time,Internship,1
3095,Full-Time,Entry level,1
3096,Full-Time,Entry level,1
3097,Full-Time,Mid-Senior level,1
3098,Full-Time,Internship,1
3099,Full-Time,Entry level,1
3100,Full-Time,Mid-Senior level,5
3101,Full-Time,Entry level,1
3102,Full-Time,Entry level,1
3103,Full-Time,Associate,1
3104,Full-Time,Associate,5
3105,Full-Time,Internship,1
3106,Full-Time,Director,1
3107,Full-Time,Internship,1
3108,Full-Time,Internship,1
3109,Full-Time,Internship,1
3110,Full-Time,Internship,1
3111,Full-Time,Internship,2
3112,Full-Time,Internship,5
3113,Full-Time,Internship,1
3114,Full-Time,Internship,2
3115,Full-Time,Mid-Senior level,1
3116,Full-Time,Entry level,1
3117,Part-Time,Internship,5
3118,Full-Time,Entry level,1
3119,Full-Time,Director,5
3120,Full-Time,Entry level,1
3121,Full-Time,Mid-Senior level,1
3122,Full-Time,Executive,1
3123,Part-Time,Internship,1
3124,Full-Time,Internship,1
3125,Full-Time,Entry level,5
3126,Full-Time,Mid-Senior level,1
3127,Full-Time,Mid-Senior level,1
3128,Full-Time,Mid-Senior level,1
3129,Full-Time,Mid-Senior level,1
3130,Full-Time,Internship,5
3131,Full-Time,Mid-Senior level,1
3132,Full-Time,Internship,1
3133,Full-Time,Internship,5
3134,Full-Time,Internship,1
3135,Full-Time,Mid-Senior level,1
3136,Full-Time,Mid-Senior level,5
3137,Full-Time,Associate,1
3138,Full-Time,Associate,1
3139,Full-Time,Associate,5
3140,Full-Time,Associate,1
3141,Full-Time,Associate,1
3142,Part-Time,Entry level,1
3143,Full-Time,Mid-Senior level,5
3144,Full-Time,Internship,1
3145,Full-Time,Associate,1
3146,Full-Time,Mid-Senior level,1
3147,Full-Time,Internship,2
3148,Full-Time,Internship,2
3149,Full-Time,Internship,1
3150,Full-Time,Internship,1
3151,Full-Time,Internship,1
3152,Full-Time,Internship,1
3153,Full-Time,Internship,1
3154,Full-Time,Associate,1
3155,Full-Time,Entry level,1
3156,Full-Time,Entry level,1
3157,Full-Time,Mid-Senior level,1
3158,Full-Time,Mid-Senior level,1
3159,Full-Time,Associate,1
3160,Full-Time,Entry level,2
3161,Full-Time,Mid-Senior level,1
3162,Full-Time,Internship,1
3163,Full-Time,Internship,1
3164,Full-Time,Internship,5
3165,Full-Time,Internship,1
3166,Full-Time,Internship,2
3167,Full-Time,Internship,5
3168,Full-Time,Internship,1
3169,Part-Time,Internship,2
3170,Full-Time,Entry level,1
3171,Full-Time,Mid-Senior level,1
3172,Full-Time,Mid-Senior level,2
3173,Full-Time,Internship,5
3174,Full-Time,Associate,5
3175,Full-Time,Entry level,1
3176,Full-Time,Internship,2
3177,Full-Time,Internship,1
3178,Full-Time,Mid-Senior level,2
3179,Full-Time,Mid-Senior level,5
3180,Full-Time,Internship,1
3181,Part-Time,Internship,5
3182,Full-Time,Mid-Senior level,1
3183,Full-Time,Mid-Senior level,5
3184,Full-Time,Mid-Senior level,1
3185,Full-Time,Mid-Senior level,1
3186,Full-Time,Mid-Senior level,1
3187,Full-Time,Internship,1
3188,Full-Time,Mid-Senior level,1
3189,Full-Time,Internship,5
3190,Full-Time,Mid-Senior level,1
3191,Full-Time,Mid-Senior level,1
3192,Full-Time,Executive,1
3193,Part-Time,Internship,1
3194,Part-Time,Internship,1
3195,Full-Time,Internship,5
3196,Full-Time,Internship,1
3197,Full-Time,Mid-Senior level,1
3198,Full-Time,Mid-Senior level,5
3199,Full-Time,Mid-Senior level,5
3200,Full-Time,Mid-Senior level,5
3201,Full-Time,Internship,5
3202,Full-Time,Entry level,1
3203,Full-Time,Entry level,1
3204,Full-Time,Executive,1
3205,Part-Time,Internship,5
3206,Full-Time,Entry level,1
3207,Full-Time,Entry level,1
3208,Full-Time,Associate,2
3209,Part-Time,Internship,5
3210,Full-Time,Mid-Senior level,1
3211,Full-Time,Internship,1
3212,Full-Time,Internship,2
3213,Full-Time,Internship,5
3214,Full-Time,Internship,1
3215,Full-Time,Entry level,5
3216,Full-Time,Entry level,1
3217,Full-Time,Internship,5
3218,Contract ,Entry level,5
3219,Full-Time,Entry level,2
3220,Full-Time,Internship,1
3221,Full-Time,Internship,1
3222,Full-Time,Entry level,5
3223,Full-Time,Internship,5
3224,Full-Time,Internship,1
3225,Full-Time,Mid-Senior level,5
3226,Full-Time,Mid-Senior level,1
3227,Full-Time,Mid-Senior level,1
3228,Full-Time,Entry level,5
3229,Full-Time,Associate,1
3230,Full-Time,Mid-Senior level,1
3231,Full-Time,Entry level,1
3232,Full-Time,Entry level,5
3233,Full-Time,Mid-Senior level,5
3234,Full-Time,Internship,5
3235,Full-Time,Mid-Senior level,1
3236,Full-Time,Mid-Senior level,1
3237,Full-Time,Mid-Senior level,5
3238,Full-Time,Director,5
3239,Contract ,Mid-Senior level,2
3240,Full-Time,Mid-Senior level,1
3241,Full-Time,Mid-Senior level,1
3242,Full-Time,Associate,1
3243,Full-Time,Mid-Senior level,5
3244,Full-Time,Internship,2
3245,Full-Time,Associate,1
3246,Full-Time,Entry level,1
3247,Full-Time,Entry level,1
3248,Full-Time,Entry level,1
3249,Full-Time,Entry level,5
3250,Full-Time,Entry level,1
3251,Full-Time,Mid-Senior level,5
3252,Part-Time,Internship,1
3253,Full-Time,Entry level,1
3254,Full-Time,Associate,1
3255,Full-Time,Entry level,5
3256,Full-Time,Mid-Senior level,1
3257,Full-Time,Internship,1
3258,Full-Time,Internship,1
3259,Full-Time,Internship,1
3260,Full-Time,Internship,5
3261,Full-Time,Mid-Senior level,5
3262,Full-Time,Mid-Senior level,1
3263,Full-Time,Mid-Senior level,1
3264,Full-Time,Executive,5
3265,Full-Time,Associate,5
3266,Full-Time,Mid-Senior level,1
3267,Full-Time,Mid-Senior level,1
3268,Full-Time,Associate,1
3269,Full-Time,Mid-Senior level,1
3270,Full-Time,Mid-Senior level,5
3271,Full-Time,Mid-Senior level,5
3272,Full-Time,Internship,1
3273,Full-Time,Internship,1
3274,Full-Time,Mid-Senior level,5
3275,Full-Time,Internship,1
3276,Full-Time,Internship,1
3277,Full-Time,Mid-Senior level,1
3278,Full-Time,Internship,1
3279,Full-Time,Internship,5
3280,Full-Time,Internship,1
3281,Full-Time,Internship,1
3282,Full-Time,Internship,1
3283,Full-Time,Internship,1
3284,Full-Time,Internship,5
3285,Full-Time,Entry level,2
3286,Full-Time,Entry level,1
3287,Full-Time,Entry level,1
3288,Full-Time,Mid-Senior level,1
3289,Full-Time,Mid-Senior level,1
3290,Full-Time,Mid-Senior level,1
3291,Full-Time,Associate,1
3292,Full-Time,Mid-Senior level,2
3293,Full-Time,Mid-Senior level,1
3294,Full-Time,Internship,1
3295,Internship,Internship,1
3296,Full-Time,Mid-Senior level,1
3297,Full-Time,Mid-Senior level,1
3298,Full-Time,Mid-Senior level,1
3299,Full-Time,Entry level,1
3300,Full-Time,Internship,1
3301,Full-Time,Entry level,2
3302,Full-Time,Entry level,1
3303,Full-Time,Entry level,1
3304,Full-Time,Entry level,1
3305,Full-Time,Internship,1
3306,Full-Time,Internship,1
3307,Full-Time,Internship,5
3308,Full-Time,Internship,1
3309,Full-Time,Internship,2
3310,Full-Time,Internship,1
3311,Full-Time,Internship,1
3312,Contract ,Mid-Senior level,1
3313,Full-Time,Mid-Senior level,5
